epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.755,4.96473,11.3643,2.38792,0.00159,0.2119,0.00212,0.00055,4.09421,3.58753,1.61843,0.0672391,0.000330918,0.000330918
2,339.957,3.94384,3.77232,1.53481,0.18231,0.17379,0.11177,0.02681,3.23733,2.59283,1.27337,0.034239,0.000664089,0.000664089
3,506.893,3.31147,2.81002,1.28988,0.3287,0.33922,0.22344,0.06231,2.73068,2.11305,1.1153,0.00123816,0.00099661,0.00099661
4,673.534,2.83601,2.33873,1.14515,0.54632,0.44238,0.41981,0.1372,2.45219,1.83998,1.06468,0.000997803,0.000997803,0.000997803
5,839.962,2.63993,2.06098,1.08372,0.61228,0.47212,0.47919,0.1403,2.65217,1.73846,1.10005,0.000996097,0.000996097,0.000996097
6,1006.33,2.50367,1.92853,1.06354,0.67608,0.49442,0.51487,0.15282,2.74254,1.65808,1.12227,0.000993906,0.000993906,0.000993906
7,1172.72,2.39936,1.81518,1.03867,0.51734,0.38569,0.35586,0.09491,3.09983,1.86293,1.21772,0.000991232,0.000991232,0.000991232
